,so_ky_hieu,ngay_ban_hanh,trich_yeu,hieu_luc,pdf
0,3637/UBND-VX,20/07/2022,"triển khai một số nhiệm vụ thực hiện công tác bhyt học sinh, sinh viên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5462/3637-VX.signed.pdf
1,3612/UBND-NC,19/07/2022,phổ biến các luật mới được quốc hội khoá xv thông qua tại kỳ họp thứ 3,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5461/3612-NC.signed.pdf
2,3559/UBND-VX,15/07/2022,"tăng cường chấp hành quy định về phòng, chống tác hại của rượu bia",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5457/3559-VX.signed.pdf
3,1707/QĐ-UBND,15/07/2022,"công bố thủ tục hành chính được sửa đổi, thủ tục hành chính bị bãi bỏ thuộc thẩm quyền giải quyết của sở khoa học và công nghệ/quỹ phát triển khoa học và công nghệ tỉnh bình dương",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5458/1707-QD.signed.pdf
4,3532/UBND-VX,13/07/2022,triển khai thực hiện thông tư số 07/2022/tt-btttt của bộ thông tin và truyền thông,Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5459/3532-VX.signed.pdf
5,3507/KH-UBND,13/07/2022,"tổ chức hội thi văn nghệ, thể thao cho người khuyết tật tỉnh bình dương lần thứ x năm 2022",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5463/3507-KH.signed.pdf
6,1667/QĐ-UBND,13/07/2022,"điều chỉnh mục đích sử dụng đất, hình thức sử dụng đất đối với khu đất đã được ủy ban nhân dân tỉnh giao cho doanh nghiệp tư nhân thương mại thảo nguyên để đầu tư xây dựng khu đô thị mới bình nguyên tại phường bình an, thành phố dĩ an",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5460/1667-QD.signed.pdf
7,3485/UBND-VX,12/07/2022,"thực hiện công văn số 3652/byt-dp ngày 10/7/2022 của bộ y tế về việc tăng cường công tác phòng, chống dịch bệnh",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5456/3485-VX.signed.pdf
8,225/TB-UBND,12/07/2022,"kết luận của chủ tịch ủy ban nhân dân tỉnh võ văn minh tại cuộc họp ban tổ chức hội thảo khoa học ""công tác phòng, chống dịch covid-19, phục hồi kinh tế - xã hội từ thực tiễn tỉnh bình dương và vùng nam bộ""",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5464/225-TB.signed.pdf
9,1658/QĐ-UBND,12/07/2022,"giao đất không thu tiền sử dụng đất cho trạm y tế xã bạch đằng tại xã bạch đằng, thị xã tân uyên",Văn bản đang có hiệu lực,https://www.binhduong.gov.vn/_layouts/LacVietBio/LacViet.DichVuCong/Pages/DownloadFilePage.aspx?FileUrl=https://www.binhduong.gov.vn/chinhquyen/Lists/VanBanChiDaoDieuHanh/Attachments/5455/1658-QD.signed.pdf
